PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_seq=1 ttl=64 time=23.9 ms
64 bytes from 10.0.0.1: icmp_seq=2 ttl=64 time=106 ms
64 bytes from 10.0.0.1: icmp_seq=3 ttl=64 time=93.1 ms
64 bytes from 10.0.0.1: icmp_seq=4 ttl=64 time=102 ms
64 bytes from 10.0.0.1: icmp_seq=5 ttl=64 time=98.1 ms
64 bytes from 10.0.0.1: icmp_seq=6 ttl=64 time=103 ms
64 bytes from 10.0.0.1: icmp_seq=7 ttl=64 time=101 ms
64 bytes from 10.0.0.1: icmp_seq=8 ttl=64 time=96.0 ms
64 bytes from 10.0.0.1: icmp_seq=9 ttl=64 time=94.6 ms
64 bytes from 10.0.0.1: icmp_seq=10 ttl=64 time=110 ms
64 bytes from 10.0.0.1: icmp_seq=12 ttl=64 time=37.1 ms
64 bytes from 10.0.0.1: icmp_seq=13 ttl=64 time=29.3 ms
64 bytes from 10.0.0.1: icmp_seq=14 ttl=64 time=39.8 ms
64 bytes from 10.0.0.1: icmp_seq=15 ttl=64 time=28.6 ms
64 bytes from 10.0.0.1: icmp_seq=16 ttl=64 time=31.9 ms
64 bytes from 10.0.0.1: icmp_seq=17 ttl=64 time=28.6 ms
64 bytes from 10.0.0.1: icmp_seq=18 ttl=64 time=29.2 ms
64 bytes from 10.0.0.1: icmp_seq=19 ttl=64 time=30.0 ms
64 bytes from 10.0.0.1: icmp_seq=20 ttl=64 time=36.5 ms
64 bytes from 10.0.0.1: icmp_seq=21 ttl=64 time=36.1 ms
64 bytes from 10.0.0.1: icmp_seq=22 ttl=64 time=42.3 ms
64 bytes from 10.0.0.1: icmp_seq=23 ttl=64 time=40.4 ms
64 bytes from 10.0.0.1: icmp_seq=24 ttl=64 time=21.2 ms
64 bytes from 10.0.0.1: icmp_seq=25 ttl=64 time=32.2 ms
64 bytes from 10.0.0.1: icmp_seq=26 ttl=64 time=29.5 ms
64 bytes from 10.0.0.1: icmp_seq=27 ttl=64 time=38.6 ms
64 bytes from 10.0.0.1: icmp_seq=28 ttl=64 time=22.3 ms
64 bytes from 10.0.0.1: icmp_seq=29 ttl=64 time=36.6 ms
64 bytes from 10.0.0.1: icmp_seq=30 ttl=64 time=29.1 ms
64 bytes from 10.0.0.1: icmp_seq=31 ttl=64 time=31.8 ms
64 bytes from 10.0.0.1: icmp_seq=32 ttl=64 time=21.3 ms
64 bytes from 10.0.0.1: icmp_seq=33 ttl=64 time=23.7 ms
64 bytes from 10.0.0.1: icmp_seq=34 ttl=64 time=26.9 ms
64 bytes from 10.0.0.1: icmp_seq=35 ttl=64 time=28.5 ms
64 bytes from 10.0.0.1: icmp_seq=36 ttl=64 time=28.9 ms
64 bytes from 10.0.0.1: icmp_seq=37 ttl=64 time=31.3 ms
64 bytes from 10.0.0.1: icmp_seq=38 ttl=64 time=25.9 ms
64 bytes from 10.0.0.1: icmp_seq=39 ttl=64 time=26.5 ms
64 bytes from 10.0.0.1: icmp_seq=40 ttl=64 time=34.7 ms
64 bytes from 10.0.0.1: icmp_seq=41 ttl=64 time=28.8 ms
64 bytes from 10.0.0.1: icmp_seq=42 ttl=64 time=21.4 ms
