PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_seq=1 ttl=64 time=45.5 ms
64 bytes from 10.0.0.1: icmp_seq=2 ttl=64 time=153 ms
64 bytes from 10.0.0.1: icmp_seq=3 ttl=64 time=196 ms
64 bytes from 10.0.0.1: icmp_seq=4 ttl=64 time=197 ms
64 bytes from 10.0.0.1: icmp_seq=5 ttl=64 time=221 ms
64 bytes from 10.0.0.1: icmp_seq=6 ttl=64 time=201 ms
64 bytes from 10.0.0.1: icmp_seq=7 ttl=64 time=243 ms
64 bytes from 10.0.0.1: icmp_seq=8 ttl=64 time=258 ms
64 bytes from 10.0.0.1: icmp_seq=9 ttl=64 time=275 ms
64 bytes from 10.0.0.1: icmp_seq=10 ttl=64 time=328 ms
64 bytes from 10.0.0.1: icmp_seq=11 ttl=64 time=508 ms
64 bytes from 10.0.0.1: icmp_seq=12 ttl=64 time=588 ms
64 bytes from 10.0.0.1: icmp_seq=13 ttl=64 time=688 ms
64 bytes from 10.0.0.1: icmp_seq=14 ttl=64 time=819 ms
64 bytes from 10.0.0.1: icmp_seq=15 ttl=64 time=646 ms
64 bytes from 10.0.0.1: icmp_seq=16 ttl=64 time=557 ms
64 bytes from 10.0.0.1: icmp_seq=17 ttl=64 time=448 ms
64 bytes from 10.0.0.1: icmp_seq=18 ttl=64 time=471 ms
64 bytes from 10.0.0.1: icmp_seq=19 ttl=64 time=501 ms
64 bytes from 10.0.0.1: icmp_seq=20 ttl=64 time=483 ms
64 bytes from 10.0.0.1: icmp_seq=21 ttl=64 time=490 ms
64 bytes from 10.0.0.1: icmp_seq=22 ttl=64 time=494 ms
64 bytes from 10.0.0.1: icmp_seq=23 ttl=64 time=544 ms
64 bytes from 10.0.0.1: icmp_seq=24 ttl=64 time=582 ms
64 bytes from 10.0.0.1: icmp_seq=25 ttl=64 time=590 ms
64 bytes from 10.0.0.1: icmp_seq=26 ttl=64 time=470 ms
64 bytes from 10.0.0.1: icmp_seq=27 ttl=64 time=462 ms
64 bytes from 10.0.0.1: icmp_seq=28 ttl=64 time=520 ms
64 bytes from 10.0.0.1: icmp_seq=29 ttl=64 time=570 ms
64 bytes from 10.0.0.1: icmp_seq=30 ttl=64 time=575 ms
64 bytes from 10.0.0.1: icmp_seq=31 ttl=64 time=437 ms
64 bytes from 10.0.0.1: icmp_seq=32 ttl=64 time=432 ms
64 bytes from 10.0.0.1: icmp_seq=33 ttl=64 time=91.5 ms
64 bytes from 10.0.0.1: icmp_seq=34 ttl=64 time=93.0 ms
64 bytes from 10.0.0.1: icmp_seq=35 ttl=64 time=101 ms
64 bytes from 10.0.0.1: icmp_seq=36 ttl=64 time=105 ms
64 bytes from 10.0.0.1: icmp_seq=37 ttl=64 time=95.9 ms
64 bytes from 10.0.0.1: icmp_seq=38 ttl=64 time=93.9 ms
64 bytes from 10.0.0.1: icmp_seq=39 ttl=64 time=97.1 ms
64 bytes from 10.0.0.1: icmp_seq=40 ttl=64 time=96.5 ms
64 bytes from 10.0.0.1: icmp_seq=41 ttl=64 time=102 ms
