PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_seq=1 ttl=64 time=45.2 ms
64 bytes from 10.0.0.1: icmp_seq=2 ttl=64 time=152 ms
64 bytes from 10.0.0.1: icmp_seq=3 ttl=64 time=209 ms
64 bytes from 10.0.0.1: icmp_seq=4 ttl=64 time=274 ms
64 bytes from 10.0.0.1: icmp_seq=5 ttl=64 time=292 ms
64 bytes from 10.0.0.1: icmp_seq=6 ttl=64 time=362 ms
64 bytes from 10.0.0.1: icmp_seq=7 ttl=64 time=438 ms
64 bytes from 10.0.0.1: icmp_seq=8 ttl=64 time=440 ms
64 bytes from 10.0.0.1: icmp_seq=9 ttl=64 time=501 ms
64 bytes from 10.0.0.1: icmp_seq=10 ttl=64 time=514 ms
64 bytes from 10.0.0.1: icmp_seq=11 ttl=64 time=765 ms
64 bytes from 10.0.0.1: icmp_seq=12 ttl=64 time=702 ms
64 bytes from 10.0.0.1: icmp_seq=13 ttl=64 time=904 ms
64 bytes from 10.0.0.1: icmp_seq=14 ttl=64 time=893 ms
64 bytes from 10.0.0.1: icmp_seq=15 ttl=64 time=790 ms
64 bytes from 10.0.0.1: icmp_seq=16 ttl=64 time=477 ms
64 bytes from 10.0.0.1: icmp_seq=17 ttl=64 time=560 ms
64 bytes from 10.0.0.1: icmp_seq=18 ttl=64 time=591 ms
64 bytes from 10.0.0.1: icmp_seq=19 ttl=64 time=600 ms
64 bytes from 10.0.0.1: icmp_seq=20 ttl=64 time=597 ms
64 bytes from 10.0.0.1: icmp_seq=21 ttl=64 time=582 ms
64 bytes from 10.0.0.1: icmp_seq=22 ttl=64 time=433 ms
64 bytes from 10.0.0.1: icmp_seq=23 ttl=64 time=498 ms
64 bytes from 10.0.0.1: icmp_seq=24 ttl=64 time=501 ms
64 bytes from 10.0.0.1: icmp_seq=25 ttl=64 time=506 ms
64 bytes from 10.0.0.1: icmp_seq=26 ttl=64 time=514 ms
64 bytes from 10.0.0.1: icmp_seq=27 ttl=64 time=516 ms
64 bytes from 10.0.0.1: icmp_seq=28 ttl=64 time=503 ms
64 bytes from 10.0.0.1: icmp_seq=29 ttl=64 time=552 ms
64 bytes from 10.0.0.1: icmp_seq=30 ttl=64 time=545 ms
64 bytes from 10.0.0.1: icmp_seq=31 ttl=64 time=585 ms
64 bytes from 10.0.0.1: icmp_seq=32 ttl=64 time=438 ms
64 bytes from 10.0.0.1: icmp_seq=33 ttl=64 time=82.5 ms
64 bytes from 10.0.0.1: icmp_seq=34 ttl=64 time=77.9 ms
64 bytes from 10.0.0.1: icmp_seq=35 ttl=64 time=76.5 ms
64 bytes from 10.0.0.1: icmp_seq=36 ttl=64 time=80.9 ms
64 bytes from 10.0.0.1: icmp_seq=37 ttl=64 time=83.5 ms
64 bytes from 10.0.0.1: icmp_seq=38 ttl=64 time=77.1 ms
64 bytes from 10.0.0.1: icmp_seq=39 ttl=64 time=77.2 ms
64 bytes from 10.0.0.1: icmp_seq=40 ttl=64 time=78.2 ms
64 bytes from 10.0.0.1: icmp_seq=41 ttl=64 time=79.6 ms
64 bytes from 10.0.0.1: icmp_seq=42 ttl=64 time=41.1 ms
