PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_seq=1 ttl=64 time=1.49 ms
64 bytes from 10.0.0.1: icmp_seq=2 ttl=64 time=0.802 ms
64 bytes from 10.0.0.1: icmp_seq=3 ttl=64 time=0.670 ms
64 bytes from 10.0.0.1: icmp_seq=4 ttl=64 time=0.644 ms
64 bytes from 10.0.0.1: icmp_seq=6 ttl=64 time=0.729 ms
64 bytes from 10.0.0.1: icmp_seq=7 ttl=64 time=0.618 ms
64 bytes from 10.0.0.1: icmp_seq=9 ttl=64 time=0.750 ms
64 bytes from 10.0.0.1: icmp_seq=10 ttl=64 time=0.632 ms
64 bytes from 10.0.0.1: icmp_seq=11 ttl=64 time=0.690 ms
64 bytes from 10.0.0.1: icmp_seq=12 ttl=64 time=0.693 ms
64 bytes from 10.0.0.1: icmp_seq=13 ttl=64 time=0.634 ms
64 bytes from 10.0.0.1: icmp_seq=14 ttl=64 time=0.628 ms
64 bytes from 10.0.0.1: icmp_seq=15 ttl=64 time=0.692 ms
64 bytes from 10.0.0.1: icmp_seq=16 ttl=64 time=0.649 ms
64 bytes from 10.0.0.1: icmp_seq=17 ttl=64 time=0.655 ms
64 bytes from 10.0.0.1: icmp_seq=18 ttl=64 time=0.604 ms
64 bytes from 10.0.0.1: icmp_seq=19 ttl=64 time=0.647 ms
64 bytes from 10.0.0.1: icmp_seq=20 ttl=64 time=0.565 ms
64 bytes from 10.0.0.1: icmp_seq=21 ttl=64 time=0.571 ms
64 bytes from 10.0.0.1: icmp_seq=22 ttl=64 time=0.637 ms
64 bytes from 10.0.0.1: icmp_seq=23 ttl=64 time=0.654 ms
64 bytes from 10.0.0.1: icmp_seq=24 ttl=64 time=0.621 ms
64 bytes from 10.0.0.1: icmp_seq=25 ttl=64 time=0.580 ms
64 bytes from 10.0.0.1: icmp_seq=27 ttl=64 time=0.817 ms
64 bytes from 10.0.0.1: icmp_seq=28 ttl=64 time=0.610 ms
64 bytes from 10.0.0.1: icmp_seq=29 ttl=64 time=0.628 ms
64 bytes from 10.0.0.1: icmp_seq=30 ttl=64 time=0.661 ms
64 bytes from 10.0.0.1: icmp_seq=31 ttl=64 time=0.702 ms
64 bytes from 10.0.0.1: icmp_seq=32 ttl=64 time=0.641 ms
64 bytes from 10.0.0.1: icmp_seq=33 ttl=64 time=0.631 ms
64 bytes from 10.0.0.1: icmp_seq=34 ttl=64 time=0.638 ms
64 bytes from 10.0.0.1: icmp_seq=35 ttl=64 time=0.637 ms
64 bytes from 10.0.0.1: icmp_seq=36 ttl=64 time=0.618 ms
64 bytes from 10.0.0.1: icmp_seq=37 ttl=64 time=0.590 ms
64 bytes from 10.0.0.1: icmp_seq=38 ttl=64 time=0.658 ms
64 bytes from 10.0.0.1: icmp_seq=39 ttl=64 time=0.644 ms
64 bytes from 10.0.0.1: icmp_seq=41 ttl=64 time=0.884 ms
64 bytes from 10.0.0.1: icmp_seq=42 ttl=64 time=0.679 ms
64 bytes from 10.0.0.1: icmp_seq=43 ttl=64 time=0.667 ms
64 bytes from 10.0.0.1: icmp_seq=44 ttl=64 time=0.643 ms
64 bytes from 10.0.0.1: icmp_seq=45 ttl=64 time=0.647 ms
64 bytes from 10.0.0.1: icmp_seq=46 ttl=64 time=0.629 ms
64 bytes from 10.0.0.1: icmp_seq=48 ttl=64 time=0.832 ms
64 bytes from 10.0.0.1: icmp_seq=49 ttl=64 time=0.610 ms
64 bytes from 10.0.0.1: icmp_seq=50 ttl=64 time=0.653 ms
64 bytes from 10.0.0.1: icmp_seq=51 ttl=64 time=0.622 ms
64 bytes from 10.0.0.1: icmp_seq=52 ttl=64 time=0.617 ms
64 bytes from 10.0.0.1: icmp_seq=53 ttl=64 time=0.644 ms
64 bytes from 10.0.0.1: icmp_seq=55 ttl=64 time=0.782 ms
64 bytes from 10.0.0.1: icmp_seq=56 ttl=64 time=0.627 ms
64 bytes from 10.0.0.1: icmp_seq=57 ttl=64 time=0.673 ms
64 bytes from 10.0.0.1: icmp_seq=58 ttl=64 time=0.656 ms
64 bytes from 10.0.0.1: icmp_seq=59 ttl=64 time=0.624 ms
64 bytes from 10.0.0.1: icmp_seq=60 ttl=64 time=0.636 ms
64 bytes from 10.0.0.1: icmp_seq=61 ttl=64 time=0.605 ms
64 bytes from 10.0.0.1: icmp_seq=63 ttl=64 time=0.752 ms
64 bytes from 10.0.0.1: icmp_seq=64 ttl=64 time=0.641 ms
64 bytes from 10.0.0.1: icmp_seq=65 ttl=64 time=0.705 ms
64 bytes from 10.0.0.1: icmp_seq=66 ttl=64 time=0.674 ms
64 bytes from 10.0.0.1: icmp_seq=67 ttl=64 time=0.645 ms
64 bytes from 10.0.0.1: icmp_seq=68 ttl=64 time=0.727 ms
64 bytes from 10.0.0.1: icmp_seq=70 ttl=64 time=0.780 ms
64 bytes from 10.0.0.1: icmp_seq=71 ttl=64 time=0.670 ms
64 bytes from 10.0.0.1: icmp_seq=72 ttl=64 time=0.738 ms
64 bytes from 10.0.0.1: icmp_seq=73 ttl=64 time=0.616 ms
64 bytes from 10.0.0.1: icmp_seq=74 ttl=64 time=0.667 ms
64 bytes from 10.0.0.1: icmp_seq=76 ttl=64 time=0.756 ms
64 bytes from 10.0.0.1: icmp_seq=77 ttl=64 time=0.677 ms
64 bytes from 10.0.0.1: icmp_seq=78 ttl=64 time=0.664 ms
64 bytes from 10.0.0.1: icmp_seq=79 ttl=64 time=0.685 ms
64 bytes from 10.0.0.1: icmp_seq=80 ttl=64 time=0.688 ms
64 bytes from 10.0.0.1: icmp_seq=81 ttl=64 time=0.628 ms
64 bytes from 10.0.0.1: icmp_seq=82 ttl=64 time=0.538 ms
64 bytes from 10.0.0.1: icmp_seq=83 ttl=64 time=0.680 ms
64 bytes from 10.0.0.1: icmp_seq=84 ttl=64 time=0.666 ms
64 bytes from 10.0.0.1: icmp_seq=85 ttl=64 time=0.611 ms
64 bytes from 10.0.0.1: icmp_seq=86 ttl=64 time=0.628 ms
64 bytes from 10.0.0.1: icmp_seq=87 ttl=64 time=0.697 ms
64 bytes from 10.0.0.1: icmp_seq=88 ttl=64 time=0.692 ms
64 bytes from 10.0.0.1: icmp_seq=89 ttl=64 time=0.635 ms
64 bytes from 10.0.0.1: icmp_seq=90 ttl=64 time=0.620 ms
64 bytes from 10.0.0.1: icmp_seq=91 ttl=64 time=0.689 ms
64 bytes from 10.0.0.1: icmp_seq=92 ttl=64 time=0.588 ms
64 bytes from 10.0.0.1: icmp_seq=93 ttl=64 time=0.648 ms
64 bytes from 10.0.0.1: icmp_seq=94 ttl=64 time=0.667 ms
64 bytes from 10.0.0.1: icmp_seq=97 ttl=64 time=0.772 ms
64 bytes from 10.0.0.1: icmp_seq=98 ttl=64 time=0.743 ms
64 bytes from 10.0.0.1: icmp_seq=99 ttl=64 time=0.650 ms
64 bytes from 10.0.0.1: icmp_seq=100 ttl=64 time=0.680 ms
64 bytes from 10.0.0.1: icmp_seq=101 ttl=64 time=0.620 ms
64 bytes from 10.0.0.1: icmp_seq=102 ttl=64 time=0.637 ms
64 bytes from 10.0.0.1: icmp_seq=103 ttl=64 time=0.626 ms
64 bytes from 10.0.0.1: icmp_seq=104 ttl=64 time=0.611 ms
64 bytes from 10.0.0.1: icmp_seq=105 ttl=64 time=0.668 ms
64 bytes from 10.0.0.1: icmp_seq=106 ttl=64 time=0.665 ms
64 bytes from 10.0.0.1: icmp_seq=107 ttl=64 time=0.578 ms
64 bytes from 10.0.0.1: icmp_seq=108 ttl=64 time=0.660 ms
64 bytes from 10.0.0.1: icmp_seq=109 ttl=64 time=0.635 ms
64 bytes from 10.0.0.1: icmp_seq=110 ttl=64 time=0.612 ms
64 bytes from 10.0.0.1: icmp_seq=111 ttl=64 time=0.643 ms
64 bytes from 10.0.0.1: icmp_seq=113 ttl=64 time=0.752 ms
64 bytes from 10.0.0.1: icmp_seq=114 ttl=64 time=0.635 ms
64 bytes from 10.0.0.1: icmp_seq=115 ttl=64 time=0.712 ms
64 bytes from 10.0.0.1: icmp_seq=116 ttl=64 time=0.622 ms
64 bytes from 10.0.0.1: icmp_seq=118 ttl=64 time=0.850 ms
64 bytes from 10.0.0.1: icmp_seq=119 ttl=64 time=0.661 ms
64 bytes from 10.0.0.1: icmp_seq=120 ttl=64 time=0.656 ms
64 bytes from 10.0.0.1: icmp_seq=121 ttl=64 time=0.664 ms
64 bytes from 10.0.0.1: icmp_seq=124 ttl=64 time=0.807 ms
64 bytes from 10.0.0.1: icmp_seq=125 ttl=64 time=0.605 ms
64 bytes from 10.0.0.1: icmp_seq=126 ttl=64 time=0.683 ms
64 bytes from 10.0.0.1: icmp_seq=127 ttl=64 time=0.610 ms
64 bytes from 10.0.0.1: icmp_seq=128 ttl=64 time=0.546 ms
64 bytes from 10.0.0.1: icmp_seq=129 ttl=64 time=0.679 ms
64 bytes from 10.0.0.1: icmp_seq=130 ttl=64 time=0.568 ms
64 bytes from 10.0.0.1: icmp_seq=131 ttl=64 time=0.613 ms
64 bytes from 10.0.0.1: icmp_seq=133 ttl=64 time=0.732 ms
64 bytes from 10.0.0.1: icmp_seq=134 ttl=64 time=0.624 ms
64 bytes from 10.0.0.1: icmp_seq=135 ttl=64 time=0.590 ms
64 bytes from 10.0.0.1: icmp_seq=136 ttl=64 time=0.670 ms
64 bytes from 10.0.0.1: icmp_seq=138 ttl=64 time=0.870 ms
64 bytes from 10.0.0.1: icmp_seq=139 ttl=64 time=0.611 ms
64 bytes from 10.0.0.1: icmp_seq=140 ttl=64 time=0.630 ms
64 bytes from 10.0.0.1: icmp_seq=141 ttl=64 time=0.570 ms
64 bytes from 10.0.0.1: icmp_seq=142 ttl=64 time=0.643 ms
