PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_seq=1 ttl=64 time=46.0 ms
64 bytes from 10.0.0.1: icmp_seq=2 ttl=64 time=469 ms
64 bytes from 10.0.0.1: icmp_seq=3 ttl=64 time=393 ms
64 bytes from 10.0.0.1: icmp_seq=4 ttl=64 time=365 ms
64 bytes from 10.0.0.1: icmp_seq=5 ttl=64 time=398 ms
64 bytes from 10.0.0.1: icmp_seq=6 ttl=64 time=418 ms
64 bytes from 10.0.0.1: icmp_seq=7 ttl=64 time=411 ms
64 bytes from 10.0.0.1: icmp_seq=8 ttl=64 time=379 ms
64 bytes from 10.0.0.1: icmp_seq=9 ttl=64 time=417 ms
64 bytes from 10.0.0.1: icmp_seq=10 ttl=64 time=391 ms
64 bytes from 10.0.0.1: icmp_seq=11 ttl=64 time=613 ms
64 bytes from 10.0.0.1: icmp_seq=12 ttl=64 time=551 ms
64 bytes from 10.0.0.1: icmp_seq=14 ttl=64 time=573 ms
64 bytes from 10.0.0.1: icmp_seq=15 ttl=64 time=416 ms
64 bytes from 10.0.0.1: icmp_seq=16 ttl=64 time=501 ms
64 bytes from 10.0.0.1: icmp_seq=17 ttl=64 time=489 ms
64 bytes from 10.0.0.1: icmp_seq=18 ttl=64 time=486 ms
64 bytes from 10.0.0.1: icmp_seq=19 ttl=64 time=510 ms
64 bytes from 10.0.0.1: icmp_seq=20 ttl=64 time=494 ms
64 bytes from 10.0.0.1: icmp_seq=21 ttl=64 time=493 ms
64 bytes from 10.0.0.1: icmp_seq=22 ttl=64 time=501 ms
64 bytes from 10.0.0.1: icmp_seq=23 ttl=64 time=533 ms
64 bytes from 10.0.0.1: icmp_seq=24 ttl=64 time=552 ms
64 bytes from 10.0.0.1: icmp_seq=25 ttl=64 time=494 ms
64 bytes from 10.0.0.1: icmp_seq=26 ttl=64 time=519 ms
64 bytes from 10.0.0.1: icmp_seq=27 ttl=64 time=509 ms
64 bytes from 10.0.0.1: icmp_seq=28 ttl=64 time=527 ms
64 bytes from 10.0.0.1: icmp_seq=29 ttl=64 time=556 ms
64 bytes from 10.0.0.1: icmp_seq=30 ttl=64 time=546 ms
64 bytes from 10.0.0.1: icmp_seq=31 ttl=64 time=552 ms
64 bytes from 10.0.0.1: icmp_seq=32 ttl=64 time=584 ms
64 bytes from 10.0.0.1: icmp_seq=33 ttl=64 time=209 ms
64 bytes from 10.0.0.1: icmp_seq=34 ttl=64 time=182 ms
64 bytes from 10.0.0.1: icmp_seq=35 ttl=64 time=203 ms
64 bytes from 10.0.0.1: icmp_seq=36 ttl=64 time=186 ms
64 bytes from 10.0.0.1: icmp_seq=37 ttl=64 time=187 ms
64 bytes from 10.0.0.1: icmp_seq=38 ttl=64 time=205 ms
64 bytes from 10.0.0.1: icmp_seq=39 ttl=64 time=204 ms
64 bytes from 10.0.0.1: icmp_seq=40 ttl=64 time=207 ms
64 bytes from 10.0.0.1: icmp_seq=41 ttl=64 time=223 ms
