PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_seq=1 ttl=64 time=45.5 ms
64 bytes from 10.0.0.1: icmp_seq=2 ttl=64 time=482 ms
64 bytes from 10.0.0.1: icmp_seq=3 ttl=64 time=364 ms
64 bytes from 10.0.0.1: icmp_seq=4 ttl=64 time=390 ms
64 bytes from 10.0.0.1: icmp_seq=5 ttl=64 time=402 ms
64 bytes from 10.0.0.1: icmp_seq=6 ttl=64 time=400 ms
64 bytes from 10.0.0.1: icmp_seq=7 ttl=64 time=428 ms
64 bytes from 10.0.0.1: icmp_seq=8 ttl=64 time=405 ms
64 bytes from 10.0.0.1: icmp_seq=9 ttl=64 time=372 ms
64 bytes from 10.0.0.1: icmp_seq=10 ttl=64 time=411 ms
64 bytes from 10.0.0.1: icmp_seq=11 ttl=64 time=562 ms
64 bytes from 10.0.0.1: icmp_seq=12 ttl=64 time=558 ms
64 bytes from 10.0.0.1: icmp_seq=13 ttl=64 time=592 ms
64 bytes from 10.0.0.1: icmp_seq=14 ttl=64 time=414 ms
64 bytes from 10.0.0.1: icmp_seq=15 ttl=64 time=618 ms
64 bytes from 10.0.0.1: icmp_seq=16 ttl=64 time=508 ms
64 bytes from 10.0.0.1: icmp_seq=17 ttl=64 time=497 ms
64 bytes from 10.0.0.1: icmp_seq=18 ttl=64 time=528 ms
64 bytes from 10.0.0.1: icmp_seq=19 ttl=64 time=502 ms
64 bytes from 10.0.0.1: icmp_seq=20 ttl=64 time=525 ms
64 bytes from 10.0.0.1: icmp_seq=21 ttl=64 time=512 ms
64 bytes from 10.0.0.1: icmp_seq=22 ttl=64 time=502 ms
64 bytes from 10.0.0.1: icmp_seq=23 ttl=64 time=568 ms
64 bytes from 10.0.0.1: icmp_seq=24 ttl=64 time=525 ms
64 bytes from 10.0.0.1: icmp_seq=25 ttl=64 time=551 ms
64 bytes from 10.0.0.1: icmp_seq=26 ttl=64 time=535 ms
64 bytes from 10.0.0.1: icmp_seq=27 ttl=64 time=567 ms
64 bytes from 10.0.0.1: icmp_seq=28 ttl=64 time=539 ms
64 bytes from 10.0.0.1: icmp_seq=29 ttl=64 time=516 ms
64 bytes from 10.0.0.1: icmp_seq=30 ttl=64 time=538 ms
64 bytes from 10.0.0.1: icmp_seq=31 ttl=64 time=593 ms
64 bytes from 10.0.0.1: icmp_seq=32 ttl=64 time=533 ms
64 bytes from 10.0.0.1: icmp_seq=33 ttl=64 time=194 ms
64 bytes from 10.0.0.1: icmp_seq=34 ttl=64 time=198 ms
64 bytes from 10.0.0.1: icmp_seq=35 ttl=64 time=208 ms
64 bytes from 10.0.0.1: icmp_seq=36 ttl=64 time=212 ms
64 bytes from 10.0.0.1: icmp_seq=37 ttl=64 time=205 ms
64 bytes from 10.0.0.1: icmp_seq=38 ttl=64 time=187 ms
64 bytes from 10.0.0.1: icmp_seq=39 ttl=64 time=184 ms
64 bytes from 10.0.0.1: icmp_seq=40 ttl=64 time=188 ms
64 bytes from 10.0.0.1: icmp_seq=41 ttl=64 time=203 ms
64 bytes from 10.0.0.1: icmp_seq=42 ttl=64 time=41.8 ms
